id,nome,ndoc_completo,cpf_cliente,cidade
id_7803,Carlos Oliveira,52998224725,52998224725,cidade_5962
id_8345,Maria Santos,60608761290,60608761290,cidade_7839
id_8656,Pedro Costa,04335195095,04335195095,cidade_2346
id_9280,João Silva,52998224725,52998224725,cidade_1020
id_7175,Carlos Oliveira,55566677788,55566677788,cidade_8388
id_4343,Maria Santos,52998224725,52998224725,cidade_7129
id_9232,Carlos Oliveira,55566677788,55566677788,cidade_1486
id_9818,Maria Santos,04335195095,04335195095,cidade_8521
id_8864,Maria Santos,11122233344,11122233344,cidade_9238
id_6514,Maria Santos,07370382257,07370382257,cidade_1931
id_6742,Maria Santos,04335195095,04335195095,cidade_7807
id_3839,Carlos Oliveira,50221290605,50221290605,cidade_4500
id_3511,João Silva,62597761525,62597761525,cidade_4486
id_7835,João Silva,62597761525,62597761525,cidade_5166
id_5495,João Silva,04335195095,04335195095,cidade_5794
id_7958,Maria Santos,50221290605,50221290605,cidade_2529
id_9627,João Silva,60608761290,60608761290,cidade_1444
id_4815,Pedro Costa,60608761290,60608761290,cidade_9638
id_5748,João Silva,62597761525,62597761525,cidade_4984
id_6397,Carlos Oliveira,98381654840,98381654840,cidade_8716
id_9899,Maria Santos,52998224725,52998224725,cidade_4935
id_9831,João Silva,12345678909,12345678909,cidade_2265
id_4843,Pedro Costa,12345678909,12345678909,cidade_5385
id_1395,Carlos Oliveira,60608761290,60608761290,cidade_7355
id_8538,Ana Souza,11122233344,11122233344,cidade_3263
id_2030,Ana Souza,62597761525,62597761525,cidade_4112
id_4913,Pedro Costa,07370382257,07370382257,cidade_5919
id_6078,Carlos Oliveira,04335195095,04335195095,cidade_3472
id_3463,Maria Santos,98381654840,98381654840,cidade_2611
id_7528,João Silva,11122233344,11122233344,cidade_1610
id_9719,Ana Souza,52998224725,52998224725,cidade_7237
id_5734,João Silva,04335195095,04335195095,cidade_4349
id_4130,João Silva,04335195095,04335195095,cidade_4070
id_9977,Ana Souza,52998224725,52998224725,cidade_1372
id_8551,João Silva,62597761525,62597761525,cidade_9061
