id_cliente,nome,cpf,email,telefone
id_cliente_3436,Ana Souza,98381654840,user7433@hotmail.com,telefone_2180
id_cliente_6367,Pedro Costa,50221290605,user1603@gmail.com,telefone_2185
id_cliente_1267,João Silva,07370382257,user9429@gmail.com,telefone_2424
id_cliente_8653,João Silva,04335195095,user5920@yahoo.com.br,telefone_7461
id_cliente_5959,Maria Santos,62597761525,user3623@gmail.com,telefone_9804
id_cliente_8807,Carlos Oliveira,12345678909,user6812@hotmail.com,telefone_6727
id_cliente_5985,João Silva,55566677788,user2378@gmail.com,telefone_8037
id_cliente_1365,Maria Santos,12345678909,user1545@hotmail.com,telefone_3419
id_cliente_9312,Ana Souza,98381654840,user5401@yahoo.com.br,telefone_4852
id_cliente_1026,Maria Santos,98381654840,user8410@yahoo.com.br,telefone_7775
id_cliente_2098,Carlos Oliveira,50221290605,user6042@yahoo.com.br,telefone_3635
id_cliente_6291,João Silva,55566677788,user334@hotmail.com,telefone_1174
id_cliente_7530,Pedro Costa,60608761290,user3863@gmail.com,telefone_2041
id_cliente_4705,Maria Santos,98381654840,user8044@gmail.com,telefone_4208
id_cliente_8379,Maria Santos,98381654840,user4834@yahoo.com.br,telefone_2309
id_cliente_5134,Maria Santos,07370382257,user8659@yahoo.com.br,telefone_3353
id_cliente_6550,Ana Souza,55566677788,user9724@hotmail.com,telefone_3683
id_cliente_2679,Maria Santos,04335195095,user9474@hotmail.com,telefone_2728
id_cliente_1933,Maria Santos,12345678909,user8921@yahoo.com.br,telefone_9271
id_cliente_8951,Maria Santos,60608761290,user5503@yahoo.com.br,telefone_2625
id_cliente_4982,João Silva,12345678909,user1162@hotmail.com,telefone_3950
id_cliente_3599,Carlos Oliveira,52998224725,user5101@hotmail.com,telefone_6005
id_cliente_1772,Maria Santos,12345678909,user8172@yahoo.com.br,telefone_6389
id_cliente_2217,Maria Santos,52998224725,user7370@hotmail.com,telefone_7459
id_cliente_3906,Maria Santos,60608761290,user1801@yahoo.com.br,telefone_6253
id_cliente_5232,Pedro Costa,60608761290,user9631@gmail.com,telefone_7527
id_cliente_5298,Ana Souza,12345678909,user774@yahoo.com.br,telefone_1552
id_cliente_1379,Ana Souza,12345678909,user5121@gmail.com,telefone_8848
id_cliente_8122,João Silva,98381654840,user7302@hotmail.com,telefone_7461
id_cliente_2682,Carlos Oliveira,98381654840,user1786@hotmail.com,telefone_5418
id_cliente_8052,Pedro Costa,52998224725,user4592@yahoo.com.br,telefone_5608
id_cliente_2989,Ana Souza,04335195095,user5750@yahoo.com.br,telefone_7498
id_cliente_8075,Ana Souza,52998224725,user9146@yahoo.com.br,telefone_3498
id_cliente_4864,Pedro Costa,50221290605,user6869@hotmail.com,telefone_9147
id_cliente_1850,João Silva,12345678909,user527@hotmail.com,telefone_1958
id_cliente_9951,Carlos Oliveira,50221290605,user498@hotmail.com,telefone_4136
id_cliente_9209,João Silva,04335195095,user9159@yahoo.com.br,telefone_3619
id_cliente_8921,Carlos Oliveira,07370382257,user8113@hotmail.com,telefone_6759
id_cliente_8445,Carlos Oliveira,11122233344,user5822@yahoo.com.br,telefone_8540
id_cliente_6060,Ana Souza,60608761290,user2086@yahoo.com.br,telefone_4460
id_cliente_3532,João Silva,07370382257,user1432@yahoo.com.br,telefone_4092
id_cliente_5843,Carlos Oliveira,07370382257,user9476@hotmail.com,telefone_2746
id_cliente_9636,João Silva,04335195095,user4455@hotmail.com,telefone_9482
id_cliente_2153,João Silva,04335195095,user1021@yahoo.com.br,telefone_6960
id_cliente_8354,Ana Souza,98381654840,user5575@gmail.com,telefone_4180
id_cliente_5774,Maria Santos,55566677788,user142@yahoo.com.br,telefone_1599
id_cliente_2801,João Silva,12345678909,user6279@hotmail.com,telefone_8335
id_cliente_2217,Pedro Costa,62597761525,user6943@yahoo.com.br,telefone_9207
id_cliente_9017,Pedro Costa,62597761525,user2371@yahoo.com.br,telefone_6478
id_cliente_8288,Pedro Costa,98381654840,user6799@yahoo.com.br,telefone_8030
id_cliente_5463,João Silva,04335195095,user3052@hotmail.com,telefone_2842
id_cliente_7760,João Silva,11122233344,user2073@yahoo.com.br,telefone_9701
id_cliente_1048,Ana Souza,12345678909,user9173@gmail.com,telefone_9264
id_cliente_7597,Carlos Oliveira,04335195095,user1024@yahoo.com.br,telefone_5352
id_cliente_2552,João Silva,12345678909,user1248@gmail.com,telefone_3853
id_cliente_9525,Carlos Oliveira,52998224725,user7298@yahoo.com.br,telefone_4702
id_cliente_5830,Maria Santos,55566677788,user4901@hotmail.com,telefone_3339
id_cliente_4682,João Silva,60608761290,user3281@gmail.com,telefone_1899
id_cliente_8574,Pedro Costa,07370382257,user7336@gmail.com,telefone_8494
id_cliente_1959,Carlos Oliveira,52998224725,user3795@gmail.com,telefone_5222
id_cliente_1293,João Silva,11122233344,user9865@yahoo.com.br,telefone_7651
id_cliente_8887,João Silva,11122233344,user2572@yahoo.com.br,telefone_5859
id_cliente_4961,Pedro Costa,12345678909,user7373@hotmail.com,telefone_9395
id_cliente_2932,Carlos Oliveira,55566677788,user4312@gmail.com,telefone_2155
id_cliente_5566,Ana Souza,60608761290,user4158@hotmail.com,telefone_9724
id_cliente_3687,Pedro Costa,52998224725,user322@gmail.com,telefone_1030
id_cliente_2651,Pedro Costa,55566677788,user9669@yahoo.com.br,telefone_4600
id_cliente_3331,João Silva,11122233344,user5616@hotmail.com,telefone_4029
