id,email,cidade
1,e1@yahoo.com.br,Curitiba
2,e2@gmail.com,Rio de Janeiro
3,e3@yahoo.com.br,São Paulo
4,e4@gmail.com,Rio de Janeiro
5,e5@hotmail.com,Brasília
6,e6@gmail.com,Rio de Janeiro
7,e7@gmail.com,Rio de Janeiro
8,e8@hotmail.com,Curitiba
9,e9@yahoo.com.br,São Paulo
10,e10@hotmail.com,Curitiba
11,e11@yahoo.com.br,São Paulo
12,e12@yahoo.com.br,Rio de Janeiro
13,e13@yahoo.com.br,Belo Horizonte
14,e14@gmail.com,Brasília
15,e15@gmail.com,Belo Horizonte
16,e16@hotmail.com,Curitiba
17,e17@gmail.com,São Paulo
18,e18@hotmail.com,Brasília
19,e19@hotmail.com,Curitiba
20,e20@gmail.com,São Paulo
21,e21@gmail.com,Rio de Janeiro
22,e22@hotmail.com,Rio de Janeiro
23,e23@yahoo.com.br,Brasília
24,e24@yahoo.com.br,São Paulo
25,e25@gmail.com,Curitiba
26,e26@hotmail.com,Rio de Janeiro
27,e27@hotmail.com,Rio de Janeiro
28,e28@gmail.com,Belo Horizonte
29,e29@hotmail.com,Belo Horizonte
30,e30@hotmail.com,Curitiba
31,e31@yahoo.com.br,Curitiba
32,e32@gmail.com,Curitiba
33,e33@hotmail.com,Brasília
34,e34@gmail.com,São Paulo
35,e35@yahoo.com.br,Belo Horizonte
36,e36@hotmail.com,Belo Horizonte
37,e37@yahoo.com.br,Brasília
38,e38@gmail.com,Rio de Janeiro
39,e39@hotmail.com,Belo Horizonte
40,e40@gmail.com,Rio de Janeiro
41,e41@yahoo.com.br,Curitiba
42,e42@hotmail.com,Brasília
43,e43@hotmail.com,São Paulo
44,e44@hotmail.com,Curitiba
45,e45@gmail.com,Curitiba
46,e46@gmail.com,Rio de Janeiro
47,e47@hotmail.com,Brasília
48,e48@yahoo.com.br,São Paulo
49,e49@yahoo.com.br,São Paulo
50,e50@hotmail.com,Belo Horizonte
51,e51@gmail.com,Brasília
52,e52@hotmail.com,São Paulo
53,e53@hotmail.com,Curitiba
54,e54@hotmail.com,Rio de Janeiro
55,e55@hotmail.com,Brasília
56,e56@hotmail.com,Brasília
57,e57@yahoo.com.br,Belo Horizonte
58,e58@gmail.com,Curitiba
59,e59@gmail.com,Belo Horizonte
60,e60@yahoo.com.br,Curitiba
61,e61@yahoo.com.br,São Paulo
62,e62@hotmail.com,Brasília
63,e63@gmail.com,São Paulo
64,e64@gmail.com,Brasília
65,e65@hotmail.com,Belo Horizonte
66,e66@gmail.com,Rio de Janeiro
67,e67@hotmail.com,Rio de Janeiro
68,e68@hotmail.com,Rio de Janeiro
69,e69@hotmail.com,Curitiba
70,e70@hotmail.com,Curitiba
71,e71@gmail.com,São Paulo
72,e72@gmail.com,Belo Horizonte
