ano,documento_ref,valor
ano_6317,52998224725,valor_3133
ano_9804,62597761525,valor_8721
ano_5185,07370382257,valor_3528
ano_6296,52998224725,valor_7614
ano_7861,62597761525,valor_5067
ano_5523,07370382257,valor_5543
ano_1378,52998224725,valor_3405
ano_9287,62597761525,valor_7182
ano_6192,07370382257,valor_8254
ano_4088,52998224725,valor_3360
ano_8340,62597761525,valor_2021
ano_5565,07370382257,valor_6606
ano_8947,52998224725,valor_5957
ano_3772,62597761525,valor_9318
ano_9861,07370382257,valor_2468
ano_8701,52998224725,valor_7775
ano_1736,62597761525,valor_7738
ano_9128,07370382257,valor_2972
ano_3206,52998224725,valor_1778
ano_7068,62597761525,valor_8340
ano_3145,07370382257,valor_1084
ano_7616,52998224725,valor_3858
ano_2562,62597761525,valor_6029
ano_2950,07370382257,valor_4950
ano_6196,52998224725,valor_8878
ano_4403,62597761525,valor_2299
ano_3560,07370382257,valor_3360
ano_8848,52998224725,valor_9238
ano_3494,62597761525,valor_4077
ano_9326,07370382257,valor_3863
ano_7973,52998224725,valor_3368
ano_1774,62597761525,valor_7103
ano_1185,07370382257,valor_9149
ano_5047,52998224725,valor_6821
ano_7730,62597761525,valor_7430
ano_8588,07370382257,valor_5016
ano_5733,52998224725,valor_1841
ano_3872,62597761525,valor_1699
ano_1867,07370382257,valor_9776
ano_1414,52998224725,valor_7719
ano_5119,62597761525,valor_8073
ano_3693,07370382257,valor_4887
ano_6853,52998224725,valor_3621
ano_6252,62597761525,valor_2619
ano_3983,07370382257,valor_7032
ano_8867,52998224725,valor_1881
ano_5326,62597761525,valor_1450
ano_2780,07370382257,valor_8853
ano_2034,52998224725,valor_5811
ano_4410,62597761525,valor_3737
ano_8297,07370382257,valor_1195
ano_2931,52998224725,valor_2467
ano_3686,62597761525,valor_5640
ano_7931,07370382257,valor_7924
ano_8318,52998224725,valor_3449
ano_3858,62597761525,valor_7578
ano_8785,07370382257,valor_6564
ano_5582,52998224725,valor_8951
ano_5532,62597761525,valor_3663
ano_2251,07370382257,valor_2079
ano_2866,52998224725,valor_5502
ano_2156,62597761525,valor_8195
ano_5900,07370382257,valor_2857
ano_1410,52998224725,valor_4096
