id_registro,nome,num_documento,doc_identificador,cpf_titular,telefone,email
id_registro_3016,Carlos Oliveira,07370382257,07370382257,07370382257,11990789393,user7130@hotmail.com
id_registro_9448,Carlos Oliveira,07370382257,07370382257,07370382257,11981354019,user560@yahoo.com.br
id_registro_8191,Maria Santos,12345678909,12345678909,12345678909,11920695490,user2767@hotmail.com
id_registro_2902,Maria Santos,62597761525,62597761525,62597761525,11917583167,user2312@gmail.com
id_registro_5864,Pedro Costa,12345678909,12345678909,12345678909,11979949656,user6736@yahoo.com.br
id_registro_9148,Ana Souza,52998224725,52998224725,52998224725,11993576254,user1470@hotmail.com
id_registro_4183,Pedro Costa,55566677788,55566677788,55566677788,11972835749,user8051@yahoo.com.br
id_registro_3964,João Silva,52998224725,52998224725,52998224725,11917583167,user3765@gmail.com
id_registro_1678,Maria Santos,63082785727,63082785727,63082785727,11936094652,user5571@yahoo.com.br
id_registro_5202,Ana Souza,07370382257,07370382257,07370382257,11925147716,user6754@hotmail.com
id_registro_1470,Pedro Costa,55566677788,55566677788,55566677788,11954097655,user9104@hotmail.com
id_registro_4716,João Silva,50221290605,50221290605,50221290605,11934867267,user2286@yahoo.com.br
id_registro_9376,Pedro Costa,98381654840,98381654840,98381654840,11923411922,user4293@hotmail.com
id_registro_3259,Maria Santos,63082785727,63082785727,63082785727,11996613472,user7425@hotmail.com
id_registro_6741,João Silva,07370382257,07370382257,07370382257,11923769904,user5499@yahoo.com.br
id_registro_8869,Ana Souza,55566677788,55566677788,55566677788,11955555765,user5667@hotmail.com
id_registro_9094,Pedro Costa,11122233344,11122233344,11122233344,11960043630,user5212@gmail.com
id_registro_9872,João Silva,12345678909,12345678909,12345678909,11916641225,user7208@gmail.com
id_registro_2431,João Silva,55566677788,55566677788,55566677788,11950907336,user5284@gmail.com
id_registro_9334,Ana Souza,12345678909,12345678909,12345678909,11981354019,user1284@yahoo.com.br
id_registro_7194,Carlos Oliveira,63082785727,63082785727,63082785727,11927471446,user1752@gmail.com
id_registro_8704,João Silva,50221290605,50221290605,50221290605,11929139884,user1148@yahoo.com.br
id_registro_7157,Ana Souza,98381654840,98381654840,98381654840,11984025716,user2886@yahoo.com.br
id_registro_5771,Maria Santos,62597761525,62597761525,62597761525,11940084941,user9220@yahoo.com.br
