id_parceiro,nome,cnpj_raiz_unhash,cnpj_sufx,cnpj_dig,ativo
id_parceiro_2510,Ana Souza,98537346,2752,24,ativo_7254
id_parceiro_5867,Pedro Costa,31711107,6942,46,ativo_7080
id_parceiro_3487,João Silva,90709818,7136,49,ativo_5506
id_parceiro_9957,Maria Santos,10498791,8787,33,ativo_1850
id_parceiro_2541,João Silva,17172257,0012,86,ativo_6813
id_parceiro_6321,João Silva,22991230,9907,55,ativo_4175
id_parceiro_5291,Pedro Costa,99516286,4287,40,ativo_1323
id_parceiro_4241,Maria Santos,03776586,1745,92,ativo_1309
id_parceiro_7669,Pedro Costa,90709818,7136,49,ativo_4936
id_parceiro_7020,Ana Souza,14226870,7171,49,ativo_6262
id_parceiro_2380,João Silva,03776586,1745,92,ativo_6180
id_parceiro_2684,Ana Souza,03776586,1745,92,ativo_1135
id_parceiro_9627,Maria Santos,22991230,9907,55,ativo_6520
id_parceiro_8701,Pedro Costa,17172257,0012,86,ativo_5887
id_parceiro_7317,Maria Santos,72282567,4996,69,ativo_6509
id_parceiro_1290,João Silva,17322309,2363,07,ativo_7476
id_parceiro_9101,Ana Souza,10498791,8787,33,ativo_1671
id_parceiro_6443,Ana Souza,77890974,9704,05,ativo_8888
id_parceiro_9289,Maria Santos,72282567,4996,69,ativo_7529
id_parceiro_1366,João Silva,99516286,4287,40,ativo_1428
id_parceiro_1057,Ana Souza,10498791,8787,33,ativo_8584
id_parceiro_9645,Carlos Oliveira,77890974,9704,05,ativo_4978
id_parceiro_7961,Maria Santos,90709818,7136,49,ativo_4706
id_parceiro_2782,João Silva,14226870,7171,49,ativo_8906
id_parceiro_3599,João Silva,17172257,0012,86,ativo_5488
id_parceiro_5788,Ana Souza,14226870,7171,49,ativo_1840
id_parceiro_5886,Carlos Oliveira,77890974,9704,05,ativo_3952
id_parceiro_2713,Maria Santos,72282567,4996,69,ativo_9144
id_parceiro_5145,João Silva,10498791,8787,33,ativo_2465
id_parceiro_6491,Ana Souza,17172257,0012,86,ativo_8328
id_parceiro_2555,Pedro Costa,15814399,7315,90,ativo_4561
id_parceiro_7153,Pedro Costa,77890974,9704,05,ativo_5745
id_parceiro_4206,Carlos Oliveira,90709818,7136,49,ativo_5969
id_parceiro_7517,Carlos Oliveira,90709818,7136,49,ativo_6656
id_parceiro_5983,Ana Souza,90709818,7136,49,ativo_2111
id_parceiro_5615,Carlos Oliveira,99516286,4287,40,ativo_5814
id_parceiro_1523,Ana Souza,17172257,0012,86,ativo_4078
id_parceiro_9450,Ana Souza,99516286,4287,40,ativo_3749
id_parceiro_9783,João Silva,99516286,4287,40,ativo_3084
id_parceiro_7119,Pedro Costa,77890974,9704,05,ativo_3961
id_parceiro_2632,Carlos Oliveira,98537346,2752,24,ativo_2516
id_parceiro_1120,Maria Santos,17322309,2363,07,ativo_2348
id_parceiro_4916,Maria Santos,99516286,4287,40,ativo_3611
id_parceiro_5349,Carlos Oliveira,31711107,6942,46,ativo_9571
id_parceiro_7258,Ana Souza,98537346,2752,24,ativo_3087
id_parceiro_1974,Pedro Costa,22991230,9907,55,ativo_9110
id_parceiro_8507,Carlos Oliveira,84993584,5634,56,ativo_2226
id_parceiro_4192,Pedro Costa,99516286,4287,40,ativo_4207
id_parceiro_1968,Ana Souza,17172257,0012,86,ativo_5301
id_parceiro_2139,Pedro Costa,17322309,2363,07,ativo_7713
id_parceiro_9411,Maria Santos,90709818,7136,49,ativo_7004
id_parceiro_3969,Carlos Oliveira,72282567,4996,69,ativo_4635
id_parceiro_7338,Maria Santos,98537346,2752,24,ativo_4430
id_parceiro_5024,Ana Souza,17322309,2363,07,ativo_2902
id_parceiro_8834,Maria Santos,17322309,2363,07,ativo_2849
id_parceiro_5034,Carlos Oliveira,31711107,6942,46,ativo_3753
id_parceiro_6544,Maria Santos,15814399,7315,90,ativo_2607
id_parceiro_5487,Ana Souza,77890974,9704,05,ativo_9424
id_parceiro_3564,João Silva,59105026,9016,16,ativo_9754
id_parceiro_2744,Maria Santos,31711107,6942,46,ativo_6446
id_parceiro_6163,Pedro Costa,77890974,9704,05,ativo_4806
id_parceiro_7370,Carlos Oliveira,90709818,7136,49,ativo_5297
id_parceiro_2909,Carlos Oliveira,98537346,2752,24,ativo_3875
id_parceiro_9002,João Silva,14226870,7171,49,ativo_1132
id_parceiro_4007,Ana Souza,72282567,4996,69,ativo_2871
id_parceiro_9103,Maria Santos,31711107,6942,46,ativo_8105
id_parceiro_3919,João Silva,77890974,9704,05,ativo_8648
id_parceiro_3765,Ana Souza,22991230,9907,55,ativo_4903
id_parceiro_8316,Pedro Costa,10498791,8787,33,ativo_6375
id_parceiro_8454,João Silva,98537346,2752,24,ativo_6532
id_parceiro_8180,Carlos Oliveira,77890974,9704,05,ativo_6131
id_parceiro_1711,João Silva,14226870,7171,49,ativo_2181
id_parceiro_3451,Maria Santos,72282567,4996,69,ativo_2610
id_parceiro_6625,Ana Souza,77890974,9704,05,ativo_8874
id_parceiro_6039,Ana Souza,22991230,9907,55,ativo_3984
id_parceiro_8525,Carlos Oliveira,90709818,7136,49,ativo_2953
id_parceiro_4383,Maria Santos,15814399,7315,90,ativo_2007
id_parceiro_4171,João Silva,31711107,6942,46,ativo_5967
id_parceiro_3598,João Silva,59105026,9016,16,ativo_8271
id_parceiro_8253,Maria Santos,98537346,2752,24,ativo_7311
id_parceiro_6580,Pedro Costa,72282567,4996,69,ativo_6520
id_parceiro_8016,João Silva,03776586,1745,92,ativo_3480
id_parceiro_7463,Maria Santos,84993584,5634,56,ativo_1877
id_parceiro_6847,Pedro Costa,31711107,6942,46,ativo_6950
id_parceiro_5835,Carlos Oliveira,98537346,2752,24,ativo_5920
id_parceiro_9686,Carlos Oliveira,90709818,7136,49,ativo_2982
id_parceiro_6662,Carlos Oliveira,22991230,9907,55,ativo_6607
id_parceiro_8112,Maria Santos,03776586,1745,92,ativo_8113
id_parceiro_9876,Maria Santos,03776586,1745,92,ativo_8386
id_parceiro_3688,Maria Santos,72282567,4996,69,ativo_5430
id_parceiro_6958,Carlos Oliveira,17322309,2363,07,ativo_2009
id_parceiro_7266,Pedro Costa,17172257,0012,86,ativo_6000
id_parceiro_6680,João Silva,90709818,7136,49,ativo_6876
id_parceiro_2718,João Silva,72282567,4996,69,ativo_3005
id_parceiro_9766,Maria Santos,31711107,6942,46,ativo_2477
id_parceiro_5019,Maria Santos,22991230,9907,55,ativo_1073
id_parceiro_4294,Maria Santos,59105026,9016,16,ativo_2266
id_parceiro_5234,Maria Santos,59105026,9016,16,ativo_1917
id_parceiro_4269,Ana Souza,59105026,9016,16,ativo_5774
id_parceiro_1503,João Silva,59105026,9016,16,ativo_1096
id_parceiro_1833,Ana Souza,98537346,2752,24,ativo_1561
id_parceiro_1481,João Silva,90709818,7136,49,ativo_7840
id_parceiro_6527,Carlos Oliveira,15814399,7315,90,ativo_4055
id_parceiro_6113,Pedro Costa,77890974,9704,05,ativo_9613
id_parceiro_7689,João Silva,31711107,6942,46,ativo_9254
id_parceiro_6841,Carlos Oliveira,10498791,8787,33,ativo_2025
id_parceiro_2990,Maria Santos,03776586,1745,92,ativo_4330
id_parceiro_2610,Pedro Costa,22991230,9907,55,ativo_4245
id_parceiro_8870,Maria Santos,31711107,6942,46,ativo_6342
