id,nome,ndoc_completo,cpf_cliente,cidade
1,Pedro Costa,52998224725,52998224725,Brasília
2,Maria Santos,60608761290,60608761290,Brasília
3,João Silva,04335195095,04335195095,São Paulo
4,Carlos Oliveira,52998224725,52998224725,Brasília
5,Ana Souza,55566677788,55566677788,Curitiba
6,Maria Santos,52998224725,52998224725,São Paulo
7,Pedro Costa,55566677788,55566677788,Rio de Janeiro
8,João Silva,04335195095,04335195095,Rio de Janeiro
9,Pedro Costa,11122233344,11122233344,Belo Horizonte
10,João Silva,07370382257,07370382257,Belo Horizonte
11,Carlos Oliveira,04335195095,04335195095,Belo Horizonte
12,Ana Souza,50221290605,50221290605,Brasília
13,João Silva,62597761525,62597761525,Brasília
14,João Silva,62597761525,62597761525,Brasília
15,Pedro Costa,04335195095,04335195095,Brasília
16,Maria Santos,50221290605,50221290605,São Paulo
17,Pedro Costa,60608761290,60608761290,Curitiba
18,Pedro Costa,60608761290,60608761290,Brasília
19,João Silva,62597761525,62597761525,Brasília
20,João Silva,98381654840,98381654840,São Paulo
21,Maria Santos,52998224725,52998224725,Brasília
22,Maria Santos,12345678909,12345678909,Brasília
23,Maria Santos,12345678909,12345678909,Brasília
24,Pedro Costa,60608761290,60608761290,Rio de Janeiro
25,João Silva,11122233344,11122233344,Belo Horizonte
26,Pedro Costa,62597761525,62597761525,Belo Horizonte
27,Carlos Oliveira,07370382257,07370382257,Rio de Janeiro
28,Ana Souza,04335195095,04335195095,São Paulo
29,Carlos Oliveira,98381654840,98381654840,Belo Horizonte
30,Pedro Costa,11122233344,11122233344,Rio de Janeiro
31,Carlos Oliveira,52998224725,52998224725,Curitiba
32,Carlos Oliveira,04335195095,04335195095,Belo Horizonte
33,Maria Santos,04335195095,04335195095,Rio de Janeiro
34,Maria Santos,52998224725,52998224725,Brasília
35,Pedro Costa,62597761525,62597761525,Curitiba
36,Ana Souza,98381654840,98381654840,Belo Horizonte
37,Ana Souza,60608761290,60608761290,Belo Horizonte
38,Carlos Oliveira,07370382257,07370382257,Rio de Janeiro
39,Pedro Costa,50221290605,50221290605,Brasília
40,Pedro Costa,55566677788,55566677788,Belo Horizonte
41,Maria Santos,07370382257,07370382257,Curitiba
42,Ana Souza,62597761525,62597761525,São Paulo
43,Maria Santos,98381654840,98381654840,Belo Horizonte
44,Ana Souza,55566677788,55566677788,Rio de Janeiro
45,Carlos Oliveira,04335195095,04335195095,Curitiba
46,Carlos Oliveira,98381654840,98381654840,Brasília
47,Pedro Costa,12345678909,12345678909,Curitiba
48,Ana Souza,11122233344,11122233344,São Paulo
49,Pedro Costa,12345678909,12345678909,Belo Horizonte
50,Maria Santos,04335195095,04335195095,Rio de Janeiro
51,Ana Souza,04335195095,04335195095,São Paulo
52,Pedro Costa,07370382257,07370382257,Rio de Janeiro
53,Maria Santos,62597761525,62597761525,Belo Horizonte
54,Pedro Costa,50221290605,50221290605,São Paulo
55,Ana Souza,12345678909,12345678909,Brasília
56,Maria Santos,62597761525,62597761525,Curitiba
57,João Silva,07370382257,07370382257,Brasília
58,João Silva,52998224725,52998224725,Rio de Janeiro
59,Maria Santos,11122233344,11122233344,Curitiba
60,Ana Souza,11122233344,11122233344,Brasília
61,Carlos Oliveira,55566677788,55566677788,Rio de Janeiro
62,Maria Santos,62597761525,62597761525,São Paulo
63,Carlos Oliveira,07370382257,07370382257,São Paulo
64,Maria Santos,12345678909,12345678909,Rio de Janeiro
65,Maria Santos,04335195095,04335195095,Rio de Janeiro
66,Maria Santos,60608761290,60608761290,Brasília
67,Carlos Oliveira,04335195095,04335195095,Belo Horizonte
68,Carlos Oliveira,04335195095,04335195095,São Paulo
69,Ana Souza,60608761290,60608761290,Belo Horizonte
70,Maria Santos,11122233344,11122233344,Brasília
71,João Silva,60608761290,60608761290,Belo Horizonte
72,Carlos Oliveira,07370382257,07370382257,Rio de Janeiro
73,Pedro Costa,12345678909,12345678909,Rio de Janeiro
74,Maria Santos,52998224725,52998224725,Curitiba
75,Maria Santos,04335195095,04335195095,Curitiba
76,João Silva,07370382257,07370382257,São Paulo
77,Ana Souza,62597761525,62597761525,Rio de Janeiro
78,Carlos Oliveira,07370382257,07370382257,São Paulo
79,João Silva,50221290605,50221290605,Belo Horizonte
80,Carlos Oliveira,04335195095,04335195095,Rio de Janeiro
81,João Silva,55566677788,55566677788,Brasília
82,Maria Santos,11122233344,11122233344,Belo Horizonte
83,Pedro Costa,50221290605,50221290605,Curitiba
84,Carlos Oliveira,52998224725,52998224725,Brasília
85,João Silva,04335195095,04335195095,São Paulo
86,Ana Souza,98381654840,98381654840,Belo Horizonte
87,Pedro Costa,07370382257,07370382257,São Paulo
88,Carlos Oliveira,62597761525,62597761525,Curitiba
89,Maria Santos,62597761525,62597761525,Curitiba
90,Ana Souza,07370382257,07370382257,Belo Horizonte
91,João Silva,04335195095,04335195095,Rio de Janeiro
92,Carlos Oliveira,55566677788,55566677788,Curitiba
93,Maria Santos,98381654840,98381654840,Brasília
94,Ana Souza,12345678909,12345678909,São Paulo
95,Pedro Costa,12345678909,12345678909,São Paulo
96,João Silva,50221290605,50221290605,Brasília
97,Maria Santos,55566677788,55566677788,Belo Horizonte
98,Pedro Costa,98381654840,98381654840,Curitiba
99,Maria Santos,52998224725,52998224725,Curitiba
100,Maria Santos,98381654840,98381654840,São Paulo
101,Pedro Costa,50221290605,50221290605,Rio de Janeiro
102,Carlos Oliveira,98381654840,98381654840,Curitiba
103,Carlos Oliveira,12345678909,12345678909,Curitiba
104,Ana Souza,11122233344,11122233344,São Paulo
105,Carlos Oliveira,04335195095,04335195095,Belo Horizonte
106,Carlos Oliveira,04335195095,04335195095,Curitiba
107,João Silva,07370382257,07370382257,São Paulo
108,João Silva,11122233344,11122233344,São Paulo
109,Carlos Oliveira,55566677788,55566677788,São Paulo
110,João Silva,52998224725,52998224725,Rio de Janeiro
111,João Silva,04335195095,04335195095,São Paulo
112,Maria Santos,60608761290,60608761290,Belo Horizonte
113,Ana Souza,55566677788,55566677788,São Paulo
114,Carlos Oliveira,52998224725,52998224725,Belo Horizonte
