ano,documento_ref,valor
2020,52998224725,1000
2021,62597761525,1007
2022,07370382257,1014
2023,52998224725,1021
2024,62597761525,1028
2020,07370382257,1035
2021,52998224725,1042
2022,62597761525,1049
2023,07370382257,1056
2024,52998224725,1063
2020,62597761525,1070
2021,07370382257,1077
2022,52998224725,1084
2023,62597761525,1091
2024,07370382257,1098
2020,52998224725,1105
2021,62597761525,1112
2022,07370382257,1119
2023,52998224725,1126
2024,62597761525,1133
2020,07370382257,1140
2021,52998224725,1147
2022,62597761525,1154
2023,07370382257,1161
2024,52998224725,1168
2020,62597761525,1175
2021,07370382257,1182
2022,52998224725,1189
2023,62597761525,1196
2024,07370382257,1203
2020,52998224725,1210
2021,62597761525,1217
2022,07370382257,1224
2023,52998224725,1231
2024,62597761525,1238
2020,07370382257,1245
2021,52998224725,1252
2022,62597761525,1259
2023,07370382257,1266
2024,52998224725,1273
2020,62597761525,1280
2021,07370382257,1287
2022,52998224725,1294
2023,62597761525,1301
2024,07370382257,1308
2020,52998224725,1315
2021,62597761525,1322
2022,07370382257,1329
2023,52998224725,1336
2024,62597761525,1343
2020,07370382257,1350
2021,52998224725,1357
2022,62597761525,1364
2023,07370382257,1371
2024,52998224725,1378
2020,62597761525,1385
2021,07370382257,1392
2022,52998224725,1399
2023,62597761525,1406
2024,07370382257,1413
2020,52998224725,1420
2021,62597761525,1427
2022,07370382257,1434
2023,52998224725,1441
2024,62597761525,1448
2020,07370382257,1455
2021,52998224725,1462
2022,62597761525,1469
2023,07370382257,1476
2024,52998224725,1483
2020,62597761525,1490
2021,07370382257,1497
2022,52998224725,1504
2023,62597761525,1511
2024,07370382257,1518
2020,52998224725,1525
2021,62597761525,1532
2022,07370382257,1539
2023,52998224725,1546
2024,62597761525,1553
2020,07370382257,1560
2021,52998224725,1567
2022,62597761525,1574
2023,07370382257,1581
2024,52998224725,1588
2020,62597761525,1595
2021,07370382257,1602
2022,52998224725,1609
2023,62597761525,1616
2024,07370382257,1623
2020,52998224725,1630
2021,62597761525,1637
2022,07370382257,1644
2023,52998224725,1651
2024,62597761525,1658
2020,07370382257,1665
2021,52998224725,1672
2022,62597761525,1679
2023,07370382257,1686
2024,52998224725,1693
2020,62597761525,1700
2021,07370382257,1707
2022,52998224725,1714
2023,62597761525,1721
2024,07370382257,1728
2020,52998224725,1735
2021,62597761525,1742
2022,07370382257,1749
2023,52998224725,1756
2024,62597761525,1763
2020,07370382257,1770
2021,52998224725,1777
2022,62597761525,1784
2023,07370382257,1791
2024,52998224725,1798
2020,62597761525,1805
2021,07370382257,1812
2022,52998224725,1819
2023,62597761525,1826
2024,07370382257,1833
2020,52998224725,1840
2021,62597761525,1847
2022,07370382257,1854
2023,52998224725,1861
2024,62597761525,1868
2020,07370382257,1875
2021,52998224725,1882
2022,62597761525,1889
2023,07370382257,1896
2024,52998224725,1903
2020,62597761525,1910
2021,07370382257,1917
2022,52998224725,1924
2023,62597761525,1931
2024,07370382257,1938
2020,52998224725,1945
2021,62597761525,1952
2022,07370382257,1959
2023,52998224725,1966
2024,62597761525,1973
2020,07370382257,1980
2021,52998224725,1987
2022,62597761525,1994
2023,07370382257,2001
2024,52998224725,2008
2020,62597761525,2015
2021,07370382257,2022
2022,52998224725,2029
2023,62597761525,2036
2024,07370382257,2043
2020,52998224725,2050
2021,62597761525,2057
2022,07370382257,2064
2023,52998224725,2071
2024,62597761525,2078
2020,07370382257,2085
2021,52998224725,2092
2022,62597761525,2099
2023,07370382257,2106
2024,52998224725,2113
2020,62597761525,2120
2021,07370382257,2127
2022,52998224725,2134
2023,62597761525,2141
2024,07370382257,2148
2020,52998224725,2155
2021,62597761525,2162
2022,07370382257,2169
2023,52998224725,2176
2024,62597761525,2183
2020,07370382257,2190
2021,52998224725,2197
2022,62597761525,2204
2023,07370382257,2211
2024,52998224725,2218
2020,62597761525,2225
2021,07370382257,2232
2022,52998224725,2239
2023,62597761525,2246
2024,07370382257,2253
2020,52998224725,2260
2021,62597761525,2267
2022,07370382257,2274
2023,52998224725,2281
2024,62597761525,2288
2020,07370382257,2295
2021,52998224725,2302
2022,62597761525,2309
2023,07370382257,2316
2024,52998224725,2323
2020,62597761525,2330
2021,07370382257,2337
2022,52998224725,2344
2023,62597761525,2351
2024,07370382257,2358
2020,52998224725,2365
2021,62597761525,2372
2022,07370382257,2379
2023,52998224725,2386
2024,62597761525,2393
2020,07370382257,2400
2021,52998224725,2407
2022,62597761525,2414
2023,07370382257,2421
2024,52998224725,2428
2020,62597761525,2435
2021,07370382257,2442
2022,52998224725,2449
2023,62597761525,2456
2024,07370382257,2463
2020,52998224725,2470
2021,62597761525,2477
2022,07370382257,2484
2023,52998224725,2491
2024,62597761525,2498
2020,07370382257,2505
2021,52998224725,2512
2022,62597761525,2519
2023,07370382257,2526
2024,52998224725,2533
2020,62597761525,2540
2021,07370382257,2547
2022,52998224725,2554
2023,62597761525,2561
2024,07370382257,2568
2020,52998224725,2575
2021,62597761525,2582
2022,07370382257,2589
2023,52998224725,2596
2024,62597761525,2603
2020,07370382257,2610
2021,52998224725,2617
2022,62597761525,2624
2023,07370382257,2631
2024,52998224725,2638
2020,62597761525,2645
2021,07370382257,2652
2022,52998224725,2659
2023,62597761525,2666
2024,07370382257,2673
