id,nome,cpf,cnpj_completo,email
1,Maria Santos,55566677788,17172257001286,m1@gmail.com
2,Maria Santos,55566677788,03776586174592,m2@yahoo.com.br
3,Maria Santos,12345678909,59105026901616,m3@yahoo.com.br
4,Pedro Costa,62597761525,14226870717149,m4@hotmail.com
5,Carlos Oliveira,60608761290,15814399731590,m5@gmail.com
6,Ana Souza,52998224725,03776586174592,m6@gmail.com
7,Maria Santos,52998224725,98537346275224,m7@yahoo.com.br
8,Ana Souza,55566677788,59105026901616,m8@gmail.com
9,Pedro Costa,50221290605,59105026901616,m9@gmail.com
10,Maria Santos,11122233344,77890974970405,m10@gmail.com
11,Ana Souza,12345678909,22991230990755,m11@gmail.com
12,Maria Santos,12345678909,98537346275224,m12@hotmail.com
13,Pedro Costa,52998224725,15814399731590,m13@yahoo.com.br
14,Maria Santos,60608761290,59105026901616,m14@hotmail.com
15,Ana Souza,04335195095,10498791878733,m15@gmail.com
16,Pedro Costa,11122233344,72282567499669,m16@hotmail.com
17,João Silva,62597761525,77890974970405,m17@hotmail.com
18,Maria Santos,55566677788,84993584563456,m18@gmail.com
19,João Silva,62597761525,22991230990755,m19@hotmail.com
20,Maria Santos,07370382257,98537346275224,m20@yahoo.com.br
21,João Silva,04335195095,14226870717149,m21@yahoo.com.br
22,João Silva,12345678909,22991230990755,m22@gmail.com
23,Carlos Oliveira,12345678909,90709818713649,m23@hotmail.com
24,Carlos Oliveira,55566677788,22991230990755,m24@yahoo.com.br
25,Pedro Costa,04335195095,03776586174592,m25@hotmail.com
26,Carlos Oliveira,98381654840,77890974970405,m26@hotmail.com
27,Ana Souza,07370382257,31711107694246,m27@gmail.com
28,Ana Souza,11122233344,59105026901616,m28@gmail.com
29,Maria Santos,98381654840,17322309236307,m29@yahoo.com.br
30,Ana Souza,62597761525,98537346275224,m30@yahoo.com.br
31,Carlos Oliveira,50221290605,99516286428740,m31@yahoo.com.br
32,Pedro Costa,11122233344,59105026901616,m32@yahoo.com.br
33,Carlos Oliveira,60608761290,10498791878733,m33@gmail.com
34,João Silva,12345678909,99516286428740,m34@yahoo.com.br
35,Maria Santos,60608761290,90709818713649,m35@yahoo.com.br
36,Carlos Oliveira,50221290605,17172257001286,m36@hotmail.com
37,Maria Santos,11122233344,14226870717149,m37@hotmail.com
38,Maria Santos,04335195095,84993584563456,m38@yahoo.com.br
39,Ana Souza,62597761525,77890974970405,m39@gmail.com
40,João Silva,98381654840,99516286428740,m40@hotmail.com
41,Pedro Costa,11122233344,03776586174592,m41@hotmail.com
42,Maria Santos,50221290605,90709818713649,m42@gmail.com
43,Maria Santos,55566677788,22991230990755,m43@yahoo.com.br
44,Pedro Costa,52998224725,14226870717149,m44@gmail.com
45,Ana Souza,12345678909,59105026901616,m45@yahoo.com.br
46,Ana Souza,60608761290,90709818713649,m46@hotmail.com
47,Pedro Costa,50221290605,22991230990755,m47@gmail.com
48,Pedro Costa,55566677788,77890974970405,m48@hotmail.com
49,João Silva,52998224725,22991230990755,m49@yahoo.com.br
50,Ana Souza,12345678909,84993584563456,m50@yahoo.com.br
51,Pedro Costa,55566677788,22991230990755,m51@yahoo.com.br
52,João Silva,12345678909,22991230990755,m52@hotmail.com
53,Pedro Costa,52998224725,15814399731590,m53@gmail.com
54,João Silva,62597761525,31711107694246,m54@yahoo.com.br
55,João Silva,52998224725,22991230990755,m55@gmail.com
56,Maria Santos,55566677788,72282567499669,m56@yahoo.com.br
57,João Silva,60608761290,17322309236307,m57@gmail.com
