id_registro,nome,num_documento,doc_identificador,cpf_titular,telefone,email
1,Juliana Lima,07370382257,07370382257,07370382257,11945882884,reg1@yahoo.com
2,Camila Rodrigues,07370382257,07370382257,07370382257,11960135741,reg2@gmail.com
3,Ana Souza,12345678909,12345678909,12345678909,11959573839,reg3@hotmail.com
4,Rafael Almeida,62597761525,62597761525,62597761525,11971230869,reg4@gmail.com
5,Juliana Lima,12345678909,12345678909,12345678909,11938372865,reg5@hotmail.com
6,Carlos Oliveira,52998224725,52998224725,52998224725,11917966287,reg6@yahoo.com
7,Rafael Almeida,55566677788,55566677788,55566677788,11981214010,reg7@hotmail.com
8,Camila Rodrigues,52998224725,52998224725,52998224725,11924297007,reg8@yahoo.com
9,Ana Souza,63082785727,63082785727,63082785727,11960135741,reg9@hotmail.com
10,Ana Souza,07370382257,07370382257,07370382257,11935109073,reg10@hotmail.com
11,Maria Santos,55566677788,55566677788,55566677788,11927336967,reg11@yahoo.com
12,Camila Rodrigues,50221290605,50221290605,50221290605,11920925148,reg12@hotmail.com
13,João Silva,98381654840,98381654840,98381654840,11946014365,reg13@gmail.com
14,Camila Rodrigues,63082785727,63082785727,63082785727,11982162946,reg14@hotmail.com
15,João Silva,07370382257,07370382257,07370382257,11914567488,reg15@yahoo.com
16,Carlos Oliveira,55566677788,55566677788,55566677788,11974620912,reg16@yahoo.com
17,Rafael Almeida,11122233344,11122233344,11122233344,11915977920,reg17@gmail.com
18,Rafael Almeida,12345678909,12345678909,12345678909,11970431173,reg18@yahoo.com
19,Pedro Costa,55566677788,55566677788,55566677788,11927423390,reg19@yahoo.com
20,Juliana Lima,12345678909,12345678909,12345678909,11913601253,reg20@yahoo.com
21,João Silva,63082785727,63082785727,63082785727,11913601253,reg21@yahoo.com
22,Camila Rodrigues,50221290605,50221290605,50221290605,11935109073,reg22@gmail.com
23,Rafael Almeida,98381654840,98381654840,98381654840,11978455055,reg23@yahoo.com
24,Rafael Almeida,62597761525,62597761525,62597761525,11927336967,reg24@gmail.com
25,Carlos Oliveira,04335195095,04335195095,04335195095,11978455055,reg25@yahoo.com
26,Maria Santos,60608761290,60608761290,60608761290,11914321716,reg26@gmail.com
27,Juliana Lima,50221290605,50221290605,50221290605,11993471043,reg27@yahoo.com
28,Pedro Costa,50221290605,50221290605,50221290605,11934541467,reg28@hotmail.com
29,Rafael Almeida,52998224725,52998224725,52998224725,11914567488,reg29@hotmail.com
30,João Silva,62597761525,62597761525,62597761525,11941985215,reg30@gmail.com
31,João Silva,60608761290,60608761290,60608761290,11955346179,reg31@hotmail.com
32,Carlos Oliveira,12345678909,12345678909,12345678909,11959573839,reg32@hotmail.com
33,João Silva,50221290605,50221290605,50221290605,11989949519,reg33@yahoo.com
34,Maria Santos,52998224725,52998224725,52998224725,11936590882,reg34@yahoo.com
35,Camila Rodrigues,52998224725,52998224725,52998224725,11979583418,reg35@hotmail.com
36,Maria Santos,11122233344,11122233344,11122233344,11913601253,reg36@hotmail.com
37,Ana Souza,62597761525,62597761525,62597761525,11936590882,reg37@yahoo.com
38,Camila Rodrigues,12345678909,12345678909,12345678909,11920925148,reg38@yahoo.com
39,Juliana Lima,11122233344,11122233344,11122233344,11955346179,reg39@yahoo.com
40,Rafael Almeida,63082785727,63082785727,63082785727,11959573839,reg40@hotmail.com
41,Juliana Lima,50221290605,50221290605,50221290605,11936775227,reg41@gmail.com
42,Ana Souza,62597761525,62597761525,62597761525,11993748363,reg42@yahoo.com
43,Carlos Oliveira,11122233344,11122233344,11122233344,11936775227,reg43@gmail.com
44,Carlos Oliveira,98381654840,98381654840,98381654840,11913601253,reg44@gmail.com
45,Pedro Costa,04335195095,04335195095,04335195095,11936775227,reg45@yahoo.com
46,João Silva,98381654840,98381654840,98381654840,11952939331,reg46@yahoo.com
47,Pedro Costa,98381654840,98381654840,98381654840,11946014365,reg47@yahoo.com
48,João Silva,52998224725,52998224725,52998224725,11977485644,reg48@gmail.com
49,Camila Rodrigues,11122233344,11122233344,11122233344,11945882884,reg49@yahoo.com
50,Ana Souza,55566677788,55566677788,55566677788,11924297007,reg50@gmail.com
51,Juliana Lima,62597761525,62597761525,62597761525,11955824883,reg51@hotmail.com
52,Camila Rodrigues,98381654840,98381654840,98381654840,11934541467,reg52@yahoo.com
53,Maria Santos,50221290605,50221290605,50221290605,11978455055,reg53@yahoo.com
54,Ana Souza,63082785727,63082785727,63082785727,11977485644,reg54@gmail.com
55,Maria Santos,98381654840,98381654840,98381654840,11950505609,reg55@gmail.com
56,Pedro Costa,50221290605,50221290605,50221290605,11917966287,reg56@hotmail.com
57,Rafael Almeida,04335195095,04335195095,04335195095,11927336967,reg57@gmail.com
58,João Silva,50221290605,50221290605,50221290605,11960117278,reg58@gmail.com
59,Rafael Almeida,52998224725,52998224725,52998224725,11915287247,reg59@yahoo.com
60,Juliana Lima,63082785727,63082785727,63082785727,11927423390,reg60@hotmail.com
61,Camila Rodrigues,60608761290,60608761290,60608761290,11989949519,reg61@yahoo.com
62,João Silva,62597761525,62597761525,62597761525,11978455055,reg62@gmail.com
63,Carlos Oliveira,62597761525,62597761525,62597761525,11915977920,reg63@yahoo.com
64,Juliana Lima,98381654840,98381654840,98381654840,11981214010,reg64@gmail.com
65,Rafael Almeida,50221290605,50221290605,50221290605,11971924855,reg65@hotmail.com
66,Pedro Costa,63082785727,63082785727,63082785727,11936590882,reg66@hotmail.com
67,Camila Rodrigues,60608761290,60608761290,60608761290,11941985215,reg67@hotmail.com
68,Carlos Oliveira,12345678909,12345678909,12345678909,11913601253,reg68@yahoo.com
69,Maria Santos,07370382257,07370382257,07370382257,11955824883,reg69@hotmail.com
70,Camila Rodrigues,07370382257,07370382257,07370382257,11938372865,reg70@hotmail.com
71,Ana Souza,12345678909,12345678909,12345678909,11971230869,reg71@hotmail.com
72,João Silva,63082785727,63082785727,63082785727,11982162946,reg72@hotmail.com
